consecutivo,idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,idmpio,nommpio,idregion,nomregion,idsubregion,nomsubregion,idregimen,nomregimen,ideps,nomeps,idips,nomips,idzona,nomzona,ideducacion,nomeducacion,idocupacion,nomocupacion,idedad,nomedad,idestadocivil,nomestadocivil,idsexo,nomsexo,idetnia,nometnia,yea1990,yea1991,yea1992,yea1993,yea1994,yea1995,yea1996,yea1997,yea1998,yea1999,yea2000,yea2001,yea2002,yea2003,yea2004,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010,yea2011,yea2012,fue1990,fue1991,fue1992,fue1993,fue1994,fue1995,fue1996,fue1997,fue1998,fue1999,fue2000,fue2001,fue2002,fue2003,fue2004,fue2005,fue2006,fue2007,fue2008,fue2009,fue2010,fue2011,fue2012,obs1990,obs1991,obs1992,obs1993,obs1994,obs1995,obs1996,obs1997,obs1998,obs1999,obs2000,obs2001,obs2002,obs2003,obs2004,obs2005,obs2006,obs2007,obs2008,obs2009,obs2010,obs2011,obs2012
1283,pgeembar,Porcentaje de mujeres de 15 a 19 años alguna vez embarazadas (ya son madres o están embarazadas por primera vez),1,por 100 (%),94,Guainía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,,,33.8,,,,,,,,,,,,,ENDS,,,,,ENDS,,,,,ENDS,,,,,,,,,,,,,,,,,,,,,,,,,
1025,pcrparin,Porcentaje partos institucionales,1,por 100 (%),70,Sucre,70124,caimito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.99,98.94,100,96.25,98.52,96.84,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2127,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,19,Cauca,19450,Mercaderes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84,23.31,22.78,22.25,21.72,21.19,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
29,pcrrncpn,Porcentaje de nacidos vivos con cuatro o más consultas de control prenatal,1,por 100 (%),88,Archipiélago de San Andrés_ Providencia y Santa Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15,94.79,93.11,90.64,93.24,91.52,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
217,pcrparin,Porcentaje partos institucionales,1,por 100 (%),13,Bolívar,13300,hatillo de loba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,99.29,100,100,98.63,98.62,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2552,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,54,N. Santander,54520,Pamplonita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38,12.11,11.83,11.56,11.28,11.01,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1477,pbehtaco,Porcentaje de población con hipertension arterial diagnosticada en 2 o más consultas,1,por 100 (%),85,CASANARE,,,,,,,,,,,,,,,,,,,140,18 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,13,Bolívar,13667,San Martín de Loba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.58,35.51,35.43,35.36,35.28,35.21,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
955,pcrparin,Porcentaje partos institucionales,1,por 100 (%),68,Santander,68179,chipatá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75,98.44,100,98.63,100,97.92,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2796,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,81,Arauca,81220,Cravo Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.96,35.16,34.36,33.56,32.76,31.96,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1145,pcrparin,Porcentaje partos institucionales,1,por 100 (%),99,Vichada,99524,la primavera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.26,87.5,88.97,67.58,65.2,62.92,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
650,pcrparin,Porcentaje partos institucionales,1,por 100 (%),25,Cundinamarca,25781,sutatausa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.96,98.81,98.86,98.81,99,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2502,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,52,Nariño,52490,Olaya Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,32.61,32.6,32.6,32.6,32.6,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2738,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,73,Tolima,73563,Prado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,22.34,22.07,21.8,21.53,21.26,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2242,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,25,Cundinamarca,25317,Guachetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.61,18.4,18.2,17.99,17.78,17.58,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
181,pcrparin,Porcentaje partos institucionales,1,por 100 (%),8,Atlántico,08137,campo de la cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.15,99.55,98.08,99.61,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1435,ptrldeng,Letalidad de Dengue grave,1,Por 100 (%),52,NARIÑO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,0,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,SIVIGILA,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
2549,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,54,N. Santander,54480,Mutiscua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.91,17.71,17.51,17.31,17.11,16.91,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1883,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,8,Atlántico,08558,Polonuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.87,24.31,23.76,23.21,22.66,22.1,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2651,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,68,Santander,68533,Páramo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,15.72,15.06,14.41,13.75,13.1,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2069,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,17,Caldas,17088,Belalcázar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,18.35,18.11,17.86,17.62,17.37,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1366,pcrparin,Porcentaje partos institucionales,1,por 100 (%),63,Quindio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.51980264,98.71668312,98.81377733,99.30173823,99.28101576,99.41472931,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2466,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,52,Nariño,52051,Arboleda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.04,31.95,31.87,31.78,31.7,31.61,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1050,pcrparin,Porcentaje partos institucionales,1,por 100 (%),73,Tolima,73026,alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.78,84.21,84.87,94.31,96.49,96.91,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
171,pcrparin,Porcentaje partos institucionales,1,por 100 (%),81,Arauca,81065,arauquita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59,74.45,83.38,84.81,82.68,86.1,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1111,pcrparin,Porcentaje partos institucionales,1,por 100 (%),76,Valle del Cauca,76246,el cairo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,99.06,98.59,100,96.08,96.25,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1061,pcrparin,Porcentaje partos institucionales,1,por 100 (%),73,Tolima,73226,cunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.13,86.49,92.86,88.7,94.83,96.08,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1698,pbretaia,Porcentaje de brotes de ETA con identificación de agentes patógenos en muestras biológicas  alimentos y superficies /ambientales,1,por 100 (%),47,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.72727273,50,,,,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
2693,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,70,Sucre,70508,Ovejas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.83,29.83,29.83,29.83,29.83,29.83,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1503,pbrmivih,Porcentaje de transmisión materno infantil de VIH,1,por 100 (%),8,ATLÁNTICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,Informe transmisión Materno Infantil del VIH Ministerio de Salud y Protección Social,,Informe transmisión Materno Infantil del VIH Ministerio de Salud y Protección Social,,,,,,,,,,,,,,,,,,,,,Información deficiente/niños sin clasificación,Información deficiente/niños sin clasificación,,,
1085,pcrparin,Porcentaje partos institucionales,1,por 100 (%),73,Tolima,73622,roncesvalles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.19,80.99,85.11,77.36,80.95,97.18,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1686,pbretaia,Porcentaje de brotes de ETA con identificación de agentes patógenos en muestras biológicas  alimentos y superficies /ambientales,1,por 100 (%),17,CALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.33333333,77.77777778,,,,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
1611,ttdnesti,Tasa de mortalidad estimada en menores de 5 años,20,Por 1.000 nacidos vivos,18,CAQUETÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.03456428,48.35794142,43.68131856,39.0046957,34.32807284,29.65144998,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2025,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,15,Boyacá,15667,San Luis de Gaceno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.72,19.13,18.54,17.95,17.36,16.77,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1563,pbepredc,Prevalencia de desnutrición crónica,1,por 100 (%),66,RISARALDA,,,,,,,,,,,,,,,,,,,211,Menor de 5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,ENSIN,,,,,ENSIN,,,,,,,,,,,,,,,,,,No reportado,,,,,,,
314,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15533,paya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.29,93.33,42.86,81.25,84.21,86.67,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1642,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,88,ARCHIPIÉLAGO DE SAN ANDRÉS_ PROVIDENCIA Y SANTA CATALINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73615913,17.32463704,16.91985665,16.52150201,16.11385175,15.71325365,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2568,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,63,Quindio,63130,Calarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19,15.7,15.22,14.73,14.25,13.76,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2075,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,17,Caldas,17442,Marmato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03,20.4,19.77,19.14,18.51,17.88,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2848,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,94,Guaínia,94663,Mapiripana *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85,38.85,38.85,38.85,38.85,38.85,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1764,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,5,Antioquia,05086,Belmira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.07,22.56,22.05,21.54,21.02,20.51,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
325,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15646,samacá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.05,96.53,96.78,98.45,98.97,98.98,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
378,pcrparin,Porcentaje partos institucionales,1,por 100 (%),17,Caldas,17001,manizales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.49,99.55,99.41,99.51,99.57,99.5,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
835,pcrparin,Porcentaje partos institucionales,1,por 100 (%),52,Nariño,52506,ospina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.96,86.49,92.86,98.31,98.11,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1450,pbehtaco,Porcentaje de población con hipertension arterial diagnosticada en 2 o más consultas,1,por 100 (%),,,,,,,,,,,,,,,,,,,,,212,25 a 34 años,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,25,Cundinamarca,25099,Bojacá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52,15.35,15.18,15.01,14.83,14.66,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1219,caelacex,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,13,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,ENSIN,,,,,ENSIN,,,,,ENSIN,,,,,,,,,,,,,,,,,,,,,,,,,
2650,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,68,Santander,68524,Palmas del Socorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.47,25.92,25.37,24.81,24.26,23.71,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2858,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,95,Guaviare,95200,Miraflores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3,49.3,49.3,49.3,49.3,49.3,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
186,pcrparin,Porcentaje partos institucionales,1,por 100 (%),8,Atlántico,08433,malambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.59,99.66,99.51,99.84,99.64,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
523,pcrparin,Porcentaje partos institucionales,1,por 100 (%),27,Chocó,27615,riosucio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.86,82.33,93.9,87.5,90.46,92.71,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
951,pcrparin,Porcentaje partos institucionales,1,por 100 (%),68,Santander,68162,el cerrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,100,99.05,95.89,95.83,96.39,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2438,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,50,Meta,50223,Cubarral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.47,21.97,21.47,20.97,20.47,19.97,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2722,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,73,Tolima,73275,Flandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07,14.07,14.07,14.07,14.06,14.06,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,15,Boyacá,15223,Cubará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,29.31,28.23,27.14,26.06,24.98,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
281,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15276,floresta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.12,95.24,98.18,100,100,97.22,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
576,pcrparin,Porcentaje partos institucionales,1,por 100 (%),25,Cundinamarca,25178,chipaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.37,100,99.24,97.14,99.07,99.15,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
935,pcrparin,Porcentaje partos institucionales,1,por 100 (%),66,Risaralda,66682,santa rosa de cabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.69,99.4,99.6,99.69,99.66,99.54,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2481,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,52,Nariño,52258,El Tablón de Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.36,21.86,21.37,20.87,20.37,19.88,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2161,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,20,Cesar,20295,Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53,20.07,19.61,19.16,18.7,18.25,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1488,pbehtaco,Porcentaje de población con hipertension arterial diagnosticada en 2 o más consultas,1,por 100 (%),50,META,,,,,,,,,,,,,,,,,,,140,18 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,73,Tolima,73030,Ambalema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63,15.63,15.63,15.63,15.62,15.62,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1402,igrtgfec,Tasa Global de Fecundidad,2,Nacidos vivos,54,Norte de Santander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4145,,,,,,,,,,,,,,,,,,,,,,,DANE,,,,,,,,,,,,,,,,,,,,,,,
1844,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,5,Antioquia,05667,San Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.44,18.24,18.03,17.83,17.62,17.42,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1572,pbepredg,Prevalencia de desnutrición global,1,por 100 (%),91,AMAZONAS,,,,,,,,,,,,,,,,,,,211,Menor de 5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,ENSIN,,,,,,,,,,,,,,,,,,No reportado,,,,,,,
1032,pcrparin,Porcentaje partos institucionales,1,por 100 (%),70,Sucre,70265,guaranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.07,99.15,95.89,96.95,97.1,97.23,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
490,pcrparin,Porcentaje partos institucionales,1,por 100 (%),20,Cesar,20517,pailitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.72,99.72,98.49,99.71,98.62,97.97,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2854,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,94,Guaínia,94888,Morichal *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,82.8,82.4,81.99,81.59,81.19,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1637,ttdnesti,Tasa de mortalidad estimada en menores de 5 años,20,Por 1.000 nacidos vivos,95,GUAVIARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1499,pbehtaco,Porcentaje de población con hipertension arterial diagnosticada en 2 o más consultas,1,por 100 (%),97,VAUPÉS,,,,,,,,,,,,,,,,,,,140,18 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,pcrparin,Porcentaje partos institucionales,1,por 100 (%),19,Cauca,19392,la sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.68,94.81,96.55,96.77,92.37,96.97,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
969,pcrparin,Porcentaje partos institucionales,1,por 100 (%),68,Santander,68276,floridablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.62,99.58,99.85,99.71,99.85,99.87,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
